district,latitude,longitude,rainfall_mm,soil_moisture_pct,slope_angle_deg,historical_landslides,risk_label
Shillong,25.584380825844004,91.91351030569612,162.8,59.3,28.6,1,Moderate
Shillong,25.560639518489577,91.86505392597329,69.6,54.7,39.4,3,Low
Shillong,25.555780128451556,91.9008139603669,296.8,58.3,58.0,0,High
Shillong,25.574210990923362,91.90108697826511,68.4,57.5,29.3,1,Moderate
Shillong,25.5586182931427,91.86163411572926,34.6,74.1,26.9,6,Moderate
Shillong,25.590442455894262,91.91105496919187,195.7,54.5,40.2,2,Moderate
Shillong,25.55667330051988,91.86937586751839,211.4,70.1,30.8,3,Moderate
Shillong,25.570827232199697,91.8920827182505,200.7,77.3,29.2,5,Moderate
Shillong,25.56263012794214,91.8832648591283,28.8,73.5,35.7,3,Moderate
Shillong,25.570957836937357,91.86402970103735,214.2,64.9,48.5,2,High
Shillong,25.587858726530673,91.88997878183298,141.4,64.1,16.3,1,Moderate
Shillong,25.580004604198823,91.94256484224971,133.3,36.7,39.6,3,Moderate
Shillong,25.562763443133008,91.92098031437865,97.3,64.6,40.2,3,Moderate
Shillong,25.61293209907357,91.9107717883127,286.9,77.7,29.6,0,High
Shillong,25.563134934153275,91.88685876967588,114.1,56.6,29.0,3,Moderate
Shillong,25.549999171046323,91.91711454512227,200.8,46.2,48.4,1,High
Shillong,25.584661449465976,91.87901297163947,270.0,50.6,39.5,1,High
Shillong,25.598067522584888,91.90155561853872,368.7,66.7,43.4,2,High
Shillong,25.57906003783756,91.92237068154314,201.9,83.8,26.5,4,Moderate
Shillong,25.55738215003878,91.90294944830487,91.7,93.6,29.8,0,Moderate
Shillong,25.583081874882605,91.86838522442575,94.8,69.6,36.5,6,Moderate
Shillong,25.600461024863506,91.9143760410407,129.2,65.6,39.3,4,Moderate
Shillong,25.5557486925668,91.86328463213586,30.3,49.7,39.9,7,Moderate
Shillong,25.560937594527417,91.8866036550521,128.4,50.7,56.0,2,Moderate
Shillong,25.62658071914785,91.93016827516641,312.9,62.5,31.7,0,High
Shillong,25.58889974557961,91.9106151038834,280.1,70.9,21.3,3,High
Shillong,25.552263364677284,91.93017431595503,37.2,57.0,40.0,5,Low
Shillong,25.51397465319862,91.87281224717331,60.5,45.6,41.1,1,Moderate
Shillong,25.607625465781325,91.8645827569764,92.6,46.0,49.8,0,Moderate
Shillong,25.59253697025532,91.89471944831278,249.2,61.1,35.9,5,High
Shillong,25.567012704861117,91.91029204194042,156.4,59.7,39.7,1,Moderate
Shillong,25.593745872102467,91.90550740530867,147.7,52.7,40.4,2,Moderate
Shillong,25.579042930181465,91.91191868167948,111.5,62.4,32.1,5,Moderate
Shillong,25.602898458435572,91.86936679061573,73.3,72.4,40.1,4,Moderate
Shillong,25.536999645027397,91.92870863033133,195.3,69.0,37.4,0,Moderate
Shillong,25.57013393186195,91.89737645455054,88.3,70.6,40.8,2,Moderate
Shillong,25.58501815131196,91.92280712433899,169.8,71.5,25.9,5,Moderate
Shillong,25.60422276451962,91.90871726202927,206.5,59.1,35.1,1,Moderate
Shillong,25.58019305329038,91.91297008612716,162.3,62.1,43.0,2,Moderate
