message_id,device_id,type,latitude,longitude,people_affected,severity,message,timestamp,hop_count,max_hops,status,source,current_hop_label,lora_band,lora_frequency_mhz,lora_sf,lora_bw_khz,lora_cr,lora_airtime_ms,lora_packet_hex,rssi_dbm,snr_db,current_node_callsign,current_node_role,current_node_lat,current_node_lon
SOS-2D46CF,device-d4zmkmrd,LANDSLIDE_SOS,25.8,92.5,1,CRITICAL,,2026-09-07 11:44:08,4,8,DELIVERED,online,State Emergency Operations Center (Dispatched),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 3A C4 63 0A 41 CE 66 66 42 B9 00 00 00 04 00 01 AE 1A,0.0,0.0,SEOC-DISPATCH-SERVER,Central Disaster HQ,25.875,92.562
SOS-84F675,SIH-NODE-TEST,LANDSLIDE_SOS,25.5788,91.8933,3,CRITICAL,Road blocked between Shillong and Cherrapunji,2026-09-07 13:58:21,4,8,DELIVERED,online,State Emergency Operations Center (Dispatched),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 21 E4 54 C0 41 CC A1 62 42 B7 C9 5F 00 04 00 03 49 4B,0.0,0.0,SEOC-DISPATCH-SERVER,Central Disaster HQ,25.6538,91.9553
SOS-F79087,lora-node-RQPNHH,LANDSLIDE_SOS,31.25169373413574,75.70442623067915,1,CRITICAL,,2026-09-07 15:03:21,0,8,RECEIVED_BY_GATEWAY,online,Node A: Stranded Citizen / Sensor (Origin),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 09 2B F3 3A 41 FA 03 78 42 97 68 AB 00 04 00 01 18 57,-84.0,8.2,LORA-NODE-CITIZEN,Originator Beacon,31.25169373413574,75.70442623067915
SOS-625F3A,lora-node-RQPNHH,LANDSLIDE_SOS,31.251708935212992,75.70425746669505,1,CRITICAL,,2026-09-07 15:04:19,0,8,RECEIVED_BY_GATEWAY,online,Node A: Stranded Citizen / Sensor (Origin),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 8A D1 D7 13 41 FA 03 80 42 97 68 94 00 04 00 01 EE 5B,-84.0,8.2,LORA-NODE-CITIZEN,Originator Beacon,31.251708935212992,75.70425746669505
SOS-227925,lora-node-RQPNHH,LANDSLIDE_SOS,31.24855022779118,75.70779245410877,1,CRITICAL,,2026-09-08 00:17:35,0,8,RECEIVED_BY_GATEWAY,online,Node A: Stranded Citizen / Sensor (Origin),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 AA 97 F6 87 41 F9 FD 08 42 97 6A 64 00 04 00 01 C3 76,-84.0,8.2,LORA-NODE-CITIZEN,Originator Beacon,31.24855022779118,75.70779245410877
SOS-222243,citizen-ZGGDMM,LANDSLIDE_SOS,31.248539682134957,75.70758812675562,2,CRITICAL,Emergency SOS from Citizen App,2026-09-08 00:25:12,4,8,DELIVERED,online,State Emergency Operations Center (Dispatched),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 2E 25 EB E7 41 F9 FD 02 42 97 6A 49 00 04 00 02 24 06,0.0,0.0,SEOC-DISPATCH-SERVER,Central Disaster HQ,31.3235,75.7696
SOS-812A3A,citizen-ZGGDMM,LANDSLIDE_SOS,31.248539682134957,75.70758812675562,20,CRITICAL,Emergency SOS from Citizen App,2026-09-08 00:26:29,4,8,DELIVERED,online,State Emergency Operations Center (Dispatched),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 6F E3 E2 8F 41 F9 FD 02 42 97 6A 49 00 04 00 14 5F 7B,0.0,0.0,SEOC-DISPATCH-SERVER,Central Disaster HQ,31.3235,75.7696
SOS-614FCE,lora-node-RQPNHH,LANDSLIDE_SOS,31.24853963313959,75.70758814447098,1,CRITICAL,,2026-09-08 00:28:18,0,8,RECEIVED_BY_GATEWAY,online,Node A: Stranded Citizen / Sensor (Origin),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 5D 9F 77 49 41 F9 FD 02 42 97 6A 49 00 04 00 01 7E DA,-84.0,8.2,LORA-NODE-CITIZEN,Originator Beacon,31.24853963313959,75.70758814447098
SOS-067725,lora-node-RQPNHH,LANDSLIDE_SOS,31.248521045809653,75.70719876537794,5,CRITICAL,quickly evacuate,2026-09-08 00:37:50,0,8,RECEIVED_BY_GATEWAY,online,Node A: Stranded Citizen / Sensor (Origin),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 18 41 DC 46 41 F9 FC F9 42 97 6A 16 00 04 00 05 8A 52,-84.0,8.2,LORA-NODE-CITIZEN,Originator Beacon,31.248521045809653,75.70719876537794
SOS-41DFF7,citizen-4KN1EK,MEDICAL_SOS,31.24853502435133,75.70743226404362,10,CRITICAL,Emergency SOS from Citizen App,2026-09-08 00:40:59,4,8,DELIVERED,online,State Emergency Operations Center (Dispatched),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 B8 14 92 8B 41 F9 FD 00 42 97 6A 35 00 04 00 0A 66 6B,0.0,0.0,SEOC-DISPATCH-SERVER,Central Disaster HQ,31.3235,75.7694
SOS-92CFE2,citizen-XHU8YW,AUTHORITY_ALERT,31.248502824191014,75.7075939755894,2,CRITICAL,"[Disaster Authority Alert - NEED_IMMEDIATE_RESCUE] CRITICAL: Citizen requests immediate search, evacuation & rescue assistance.",2026-09-08 01:06:47,4,8,DELIVERED,online,State Emergency Operations Center (Dispatched),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 85 BA 64 70 41 F9 FC EF 42 97 6A 4A 00 04 00 02 9C 88,0.0,0.0,SEOC-DISPATCH-SERVER,Central Disaster HQ,31.3235,75.7696
SOS-82751F,citizen-JAFN1G,AUTHORITY_ALERT,31.25277116948243,75.70368646151024,2,CRITICAL,"[Disaster Authority Alert - NEED_IMMEDIATE_RESCUE] CRITICAL: Citizen requests immediate search, evacuation & rescue assistance.",2026-09-08 13:06:11,4,8,DELIVERED,online,State Emergency Operations Center (Dispatched),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 E0 37 5F C0 41 FA 05 AD 42 97 68 4A 00 04 00 02 B2 17,0.0,0.0,SEOC-DISPATCH-SERVER,Central Disaster HQ,31.3278,75.7657
SOS-82751F,citizen-JAFN1G,AUTHORITY_ALERT,31.25277116948243,75.70368646151024,2,CRITICAL,"[Disaster Authority Alert - NEED_IMMEDIATE_RESCUE] CRITICAL: Citizen requests immediate search, evacuation & rescue assistance.",2026-09-08 13:06:11,4,8,DELIVERED,online,State Emergency Operations Center (Dispatched),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 E0 37 5F C0 41 FA 05 AD 42 97 68 4A 00 04 00 02 B2 17,0.0,0.0,SEOC-DISPATCH-SERVER,Central Disaster HQ,31.3278,75.7657
SOS-DCE2BF,citizen-JAFN1G,AUTHORITY_ALERT,31.25277116948243,75.70368646151024,1,LOW,[Disaster Authority Alert - REPORT_SAFE] Citizen checked in as SAFE in designated mountain zone.,2026-09-08 13:06:29,4,8,DELIVERED,online,State Emergency Operations Center (Dispatched),IN865 (India ISM),865.2,10.0,125.0,4/5,452.6,4C 53 02 98 0E 0F A2 41 FA 05 AD 42 97 68 4A 00 01 00 01 1F 26,0.0,0.0,SEOC-DISPATCH-SERVER,Central Disaster HQ,31.3278,75.7657
